num = 15817, ma = 40, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 15817, ma = 40, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 15817, ma = 40, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 15817, ma = 40, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
