num = 4, ma = 10, rate = 0.009000, multiple = 2.000000, reaction = 10, last = 20
num = 4, ma = 10, rate = 0.009000, multiple = 2.000000, reaction = 10, last = 25
num = 4, ma = 10, rate = 0.009000, multiple = 2.000000, reaction = 10, last = 30
num = 2, ma = 10, rate = 0.009000, multiple = 2.500000, reaction = 5, last = 20
num = 2, ma = 10, rate = 0.009000, multiple = 2.500000, reaction = 5, last = 25
num = 2, ma = 10, rate = 0.009000, multiple = 2.500000, reaction = 5, last = 30
num = 2, ma = 10, rate = 0.009000, multiple = 2.500000, reaction = 10, last = 20
num = 2, ma = 10, rate = 0.009000, multiple = 2.500000, reaction = 10, last = 25
num = 2, ma = 10, rate = 0.009000, multiple = 2.500000, reaction = 10, last = 30
num = 2, ma = 10, rate = 0.009000, multiple = 3.000000, reaction = 5, last = 20
num = 2, ma = 10, rate = 0.009000, multiple = 3.000000, reaction = 5, last = 25
num = 2, ma = 10, rate = 0.009000, multiple = 3.000000, reaction = 5, last = 30
num = 2, ma = 10, rate = 0.009000, multiple = 3.000000, reaction = 10, last = 20
num = 2, ma = 10, rate = 0.009000, multiple = 3.000000, reaction = 10, last = 25
num = 2, ma = 10, rate = 0.009000, multiple = 3.000000, reaction = 10, last = 30
num = 2, ma = 10, rate = 0.010000, multiple = 2.000000, reaction = 5, last = 20
num = 2, ma = 10, rate = 0.010000, multiple = 2.000000, reaction = 5, last = 25
num = 2, ma = 10, rate = 0.010000, multiple = 2.000000, reaction = 5, last = 30
num = 2, ma = 10, rate = 0.010000, multiple = 2.000000, reaction = 10, last = 20
num = 2, ma = 10, rate = 0.010000, multiple = 2.000000, reaction = 10, last = 25
num = 2, ma = 10, rate = 0.010000, multiple = 2.000000, reaction = 10, last = 30
num = 0, ma = 10, rate = 0.010000, multiple = 2.500000, reaction = 5, last = 20
num = 0, ma = 10, rate = 0.010000, multiple = 2.500000, reaction = 5, last = 25
num = 0, ma = 10, rate = 0.010000, multiple = 2.500000, reaction = 5, last = 30
num = 0, ma = 10, rate = 0.010000, multiple = 2.500000, reaction = 10, last = 20
num = 0, ma = 10, rate = 0.010000, multiple = 2.500000, reaction = 10, last = 25
num = 0, ma = 10, rate = 0.010000, multiple = 2.500000, reaction = 10, last = 30
num = 0, ma = 10, rate = 0.010000, multiple = 3.000000, reaction = 5, last = 20
num = 0, ma = 10, rate = 0.010000, multiple = 3.000000, reaction = 5, last = 25
num = 0, ma = 10, rate = 0.010000, multiple = 3.000000, reaction = 5, last = 30
num = 0, ma = 10, rate = 0.010000, multiple = 3.000000, reaction = 10, last = 20
num = 0, ma = 10, rate = 0.010000, multiple = 3.000000, reaction = 10, last = 25
num = 0, ma = 10, rate = 0.010000, multiple = 3.000000, reaction = 10, last = 30
num = 34, ma = 15, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 20
num = 34, ma = 15, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 25
num = 34, ma = 15, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 30
num = 34, ma = 15, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 20
num = 34, ma = 15, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 25
num = 34, ma = 15, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 30
num = 25, ma = 15, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 20
num = 25, ma = 15, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 25
num = 25, ma = 15, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 30
num = 25, ma = 15, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 20
num = 25, ma = 15, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 25
num = 25, ma = 15, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 30
num = 22, ma = 15, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 20
num = 22, ma = 15, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 25
num = 22, ma = 15, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 30
num = 22, ma = 15, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 20
num = 22, ma = 15, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 25
num = 22, ma = 15, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 30
num = 13, ma = 15, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 20
num = 13, ma = 15, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 25
num = 13, ma = 15, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 30
num = 13, ma = 15, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 20
num = 13, ma = 15, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 25
num = 13, ma = 15, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 30
num = 8, ma = 15, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 20
num = 8, ma = 15, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 25
num = 8, ma = 15, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 30
num = 8, ma = 15, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 20
num = 8, ma = 15, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 25
num = 8, ma = 15, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 30
num = 7, ma = 15, rate = 0.006000, multiple = 3.000000, reaction = 5, last = 20
num = 7, ma = 15, rate = 0.006000, multiple = 3.000000, reaction = 5, last = 25
num = 7, ma = 15, rate = 0.006000, multiple = 3.000000, reaction = 5, last = 30
num = 7, ma = 15, rate = 0.006000, multiple = 3.000000, reaction = 10, last = 20
num = 7, ma = 15, rate = 0.006000, multiple = 3.000000, reaction = 10, last = 25
num = 7, ma = 15, rate = 0.006000, multiple = 3.000000, reaction = 10, last = 30
num = 6, ma = 15, rate = 0.007000, multiple = 2.000000, reaction = 5, last = 20
num = 6, ma = 15, rate = 0.007000, multiple = 2.000000, reaction = 5, last = 25
num = 6, ma = 15, rate = 0.007000, multiple = 2.000000, reaction = 5, last = 30
num = 6, ma = 15, rate = 0.007000, multiple = 2.000000, reaction = 10, last = 20
num = 6, ma = 15, rate = 0.007000, multiple = 2.000000, reaction = 10, last = 25
num = 6, ma = 15, rate = 0.007000, multiple = 2.000000, reaction = 10, last = 30
num = 5, ma = 15, rate = 0.007000, multiple = 2.500000, reaction = 5, last = 20
num = 5, ma = 15, rate = 0.007000, multiple = 2.500000, reaction = 5, last = 25
num = 5, ma = 15, rate = 0.007000, multiple = 2.500000, reaction = 5, last = 30
num = 5, ma = 15, rate = 0.007000, multiple = 2.500000, reaction = 10, last = 20
num = 5, ma = 15, rate = 0.007000, multiple = 2.500000, reaction = 10, last = 25
num = 5, ma = 15, rate = 0.007000, multiple = 2.500000, reaction = 10, last = 30
num = 4, ma = 15, rate = 0.007000, multiple = 3.000000, reaction = 5, last = 20
num = 4, ma = 15, rate = 0.007000, multiple = 3.000000, reaction = 5, last = 25
num = 4, ma = 15, rate = 0.007000, multiple = 3.000000, reaction = 5, last = 30
num = 4, ma = 15, rate = 0.007000, multiple = 3.000000, reaction = 10, last = 20
num = 4, ma = 15, rate = 0.007000, multiple = 3.000000, reaction = 10, last = 25
num = 4, ma = 15, rate = 0.007000, multiple = 3.000000, reaction = 10, last = 30
num = 5, ma = 15, rate = 0.008000, multiple = 2.000000, reaction = 5, last = 20
num = 5, ma = 15, rate = 0.008000, multiple = 2.000000, reaction = 5, last = 25
num = 5, ma = 15, rate = 0.008000, multiple = 2.000000, reaction = 5, last = 30
num = 5, ma = 15, rate = 0.008000, multiple = 2.000000, reaction = 10, last = 20
num = 5, ma = 15, rate = 0.008000, multiple = 2.000000, reaction = 10, last = 25
num = 5, ma = 15, rate = 0.008000, multiple = 2.000000, reaction = 10, last = 30
num = 4, ma = 15, rate = 0.008000, multiple = 2.500000, reaction = 5, last = 20
num = 4, ma = 15, rate = 0.008000, multiple = 2.500000, reaction = 5, last = 25
num = 4, ma = 15, rate = 0.008000, multiple = 2.500000, reaction = 5, last = 30
num = 4, ma = 15, rate = 0.008000, multiple = 2.500000, reaction = 10, last = 20
num = 4, ma = 15, rate = 0.008000, multiple = 2.500000, reaction = 10, last = 25
num = 4, ma = 15, rate = 0.008000, multiple = 2.500000, reaction = 10, last = 30
num = 3, ma = 15, rate = 0.008000, multiple = 3.000000, reaction = 5, last = 20
num = 3, ma = 15, rate = 0.008000, multiple = 3.000000, reaction = 5, last = 25
num = 3, ma = 15, rate = 0.008000, multiple = 3.000000, reaction = 5, last = 30
num = 3, ma = 15, rate = 0.008000, multiple = 3.000000, reaction = 10, last = 20
num = 3, ma = 15, rate = 0.008000, multiple = 3.000000, reaction = 10, last = 25
num = 3, ma = 15, rate = 0.008000, multiple = 3.000000, reaction = 10, last = 30
num = 4, ma = 15, rate = 0.009000, multiple = 2.000000, reaction = 5, last = 20
num = 4, ma = 15, rate = 0.009000, multiple = 2.000000, reaction = 5, last = 25
num = 4, ma = 15, rate = 0.009000, multiple = 2.000000, reaction = 5, last = 30
num = 4, ma = 15, rate = 0.009000, multiple = 2.000000, reaction = 10, last = 20
num = 4, ma = 15, rate = 0.009000, multiple = 2.000000, reaction = 10, last = 25
num = 4, ma = 15, rate = 0.009000, multiple = 2.000000, reaction = 10, last = 30
num = 3, ma = 15, rate = 0.009000, multiple = 2.500000, reaction = 5, last = 20
num = 3, ma = 15, rate = 0.009000, multiple = 2.500000, reaction = 5, last = 25
num = 3, ma = 15, rate = 0.009000, multiple = 2.500000, reaction = 5, last = 30
num = 3, ma = 15, rate = 0.009000, multiple = 2.500000, reaction = 10, last = 20
num = 3, ma = 15, rate = 0.009000, multiple = 2.500000, reaction = 10, last = 25
num = 3, ma = 15, rate = 0.009000, multiple = 2.500000, reaction = 10, last = 30
num = 2, ma = 15, rate = 0.009000, multiple = 3.000000, reaction = 5, last = 20
num = 2, ma = 15, rate = 0.009000, multiple = 3.000000, reaction = 5, last = 25
num = 2, ma = 15, rate = 0.009000, multiple = 3.000000, reaction = 5, last = 30
num = 2, ma = 15, rate = 0.009000, multiple = 3.000000, reaction = 10, last = 20
num = 2, ma = 15, rate = 0.009000, multiple = 3.000000, reaction = 10, last = 25
num = 2, ma = 15, rate = 0.009000, multiple = 3.000000, reaction = 10, last = 30
num = 2, ma = 15, rate = 0.010000, multiple = 2.000000, reaction = 5, last = 20
num = 2, ma = 15, rate = 0.010000, multiple = 2.000000, reaction = 5, last = 25
num = 2, ma = 15, rate = 0.010000, multiple = 2.000000, reaction = 5, last = 30
num = 2, ma = 15, rate = 0.010000, multiple = 2.000000, reaction = 10, last = 20
num = 2, ma = 15, rate = 0.010000, multiple = 2.000000, reaction = 10, last = 25
num = 2, ma = 15, rate = 0.010000, multiple = 2.000000, reaction = 10, last = 30
num = 1, ma = 15, rate = 0.010000, multiple = 2.500000, reaction = 5, last = 20
num = 1, ma = 15, rate = 0.010000, multiple = 2.500000, reaction = 5, last = 25
num = 1, ma = 15, rate = 0.010000, multiple = 2.500000, reaction = 5, last = 30
num = 1, ma = 15, rate = 0.010000, multiple = 2.500000, reaction = 10, last = 20
num = 1, ma = 15, rate = 0.010000, multiple = 2.500000, reaction = 10, last = 25
num = 1, ma = 15, rate = 0.010000, multiple = 2.500000, reaction = 10, last = 30
num = 0, ma = 15, rate = 0.010000, multiple = 3.000000, reaction = 5, last = 20
num = 0, ma = 15, rate = 0.010000, multiple = 3.000000, reaction = 5, last = 25
num = 0, ma = 15, rate = 0.010000, multiple = 3.000000, reaction = 5, last = 30
num = 0, ma = 15, rate = 0.010000, multiple = 3.000000, reaction = 10, last = 20
num = 0, ma = 15, rate = 0.010000, multiple = 3.000000, reaction = 10, last = 25
num = 0, ma = 15, rate = 0.010000, multiple = 3.000000, reaction = 10, last = 30
num = 32, ma = 20, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 20
num = 32, ma = 20, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 25
num = 32, ma = 20, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 30
num = 32, ma = 20, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 20
num = 32, ma = 20, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 25
num = 32, ma = 20, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 30
num = 28, ma = 20, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 20
num = 28, ma = 20, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 25
num = 28, ma = 20, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 30
num = 28, ma = 20, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 20
num = 28, ma = 20, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 25
num = 28, ma = 20, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 30
num = 22, ma = 20, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 20
num = 22, ma = 20, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 25
num = 22, ma = 20, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 30
num = 22, ma = 20, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 20
num = 22, ma = 20, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 25
num = 22, ma = 20, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 30
num = 11, ma = 20, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 20
num = 11, ma = 20, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 25
num = 11, ma = 20, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 30
num = 11, ma = 20, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 20
num = 11, ma = 20, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 25
num = 11, ma = 20, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 30
num = 9, ma = 20, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 20
num = 9, ma = 20, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 25
num = 9, ma = 20, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 30
num = 9, ma = 20, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 20
num = 9, ma = 20, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 25
